circuit name,latitude,longitude,fastest lap speed
Circuit de Nevers Magny-Cours,46.8642,3.16361,207.027
Circuit de Nevers Magny-Cours,46.8642,3.16361,207.590
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.846
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.199
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.319
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.641
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.563
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.038
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.587
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.678
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.118
Circuit de Nevers Magny-Cours,46.8642,3.16361,203.347
Circuit de Nevers Magny-Cours,46.8642,3.16361,203.757
Circuit de Nevers Magny-Cours,46.8642,3.16361,201.122
Silverstone Circuit,52.0786,-1.01694,229.514
Silverstone Circuit,52.0786,-1.01694,228.159
Silverstone Circuit,52.0786,-1.01694,226.600
Silverstone Circuit,52.0786,-1.01694,225.413
Silverstone Circuit,52.0786,-1.01694,228.890
Silverstone Circuit,52.0786,-1.01694,225.727
Silverstone Circuit,52.0786,-1.01694,224.193
Silverstone Circuit,52.0786,-1.01694,225.328
Silverstone Circuit,52.0786,-1.01694,221.948
Silverstone Circuit,52.0786,-1.01694,221.433
Silverstone Circuit,52.0786,-1.01694,222.666
